pair	ts	grade	vol_z	amp_24h	win4h
LTC/USDT	2025-02-10 00:00:00+00:00	B	7.535754350167587	0.1373115464475942	2025-02-10 00:00:00+00:00
SOL/USDT	2025-02-10 13:45:00+00:00	A	5.172512905953869	0.05394131185270426	2025-02-10 12:00:00+00:00
ADA/USDT	2025-02-10 22:15:00+00:00	A	9.768438884296703	0.16645596291613998	2025-02-10 20:00:00+00:00
ETH/USDT	2025-02-11 00:30:00+00:00	A	5.1510135417169645	0.061588127091536424	2025-02-11 00:00:00+00:00
BNB/USDT	2025-02-11 04:30:00+00:00	B	6.957028690788974	0.034107596835573	2025-02-11 04:00:00+00:00
ETH/USDT	2025-02-12 13:15:00+00:00	A	3.0049797259186595	0.09343584345276128	2025-02-12 12:00:00+00:00
ETH/USDT	2025-02-12 22:15:00+00:00	B	4.836460169331362	0.06595187812494345	2025-02-12 20:00:00+00:00
BNB/USDT	2025-02-13 13:15:00+00:00	B	6.288427543752721	0.1017431028058021	2025-02-13 12:00:00+00:00
LTC/USDT	2025-02-13 19:00:00+00:00	B	3.269700858380144	0.07545560294687867	2025-02-13 16:00:00+00:00
DOGE/USDT	2025-02-13 21:30:00+00:00	B	4.002827664056627	0.10453081876724937	2025-02-13 20:00:00+00:00
XRP/USDT	2025-02-14 08:00:00+00:00	B	3.8139533590148718	0.08546289211935724	2025-02-14 08:00:00+00:00
ETH/USDT	2025-02-14 14:45:00+00:00	B	4.476643235414745	0.04759716989800607	2025-02-14 12:00:00+00:00
DOGE/USDT	2025-02-14 17:30:00+00:00	B	4.42681337679497	0.06844617288315358	2025-02-14 16:00:00+00:00
LTC/USDT	2025-02-16 01:15:00+00:00	B	5.159430808267084	0.09372023155272226	2025-02-16 00:00:00+00:00
BNB/USDT	2025-02-16 14:30:00+00:00	B	10.265929241200894	0.030162618422217544	2025-02-16 12:00:00+00:00
ADA/USDT	2025-02-17 04:45:00+00:00	B	9.410858309741998	0.05704365079365071	2025-02-17 04:00:00+00:00
ETH/USDT	2025-02-17 09:30:00+00:00	B	3.1601828561530465	0.07207940301775247	2025-02-17 08:00:00+00:00
BTC/USDT	2025-02-17 14:00:00+00:00	A	7.10046736600849	0.020599284747487227	2025-02-17 12:00:00+00:00
LTC/USDT	2025-02-19 01:00:00+00:00	B	5.161482613964539	0.07480789513334342	2025-02-19 00:00:00+00:00
XRP/USDT	2025-02-19 16:15:00+00:00	B	3.1806466986195847	0.04861032545159718	2025-02-19 16:00:00+00:00
DOGE/USDT	2025-02-19 22:45:00+00:00	A	3.716301309716586	0.030344827586206838	2025-02-19 20:00:00+00:00
LINK/USDT	2025-02-20 02:45:00+00:00	B	4.102692055115128	0.036752605595172884	2025-02-20 00:00:00+00:00
AVAX/USDT	2025-02-20 10:45:00+00:00	B	3.0806239690244603	0.0701182225845904	2025-02-20 08:00:00+00:00
ETH/USDT	2025-02-20 14:00:00+00:00	A	3.9738555532402033	0.050053989028270074	2025-02-20 12:00:00+00:00
LTC/USDT	2025-02-21 02:15:00+00:00	B	4.750174519598775	0.11951960642454046	2025-02-21 00:00:00+00:00
ETH/USDT	2025-02-21 09:15:00+00:00	A	13.667670123994174	0.0818237460671987	2025-02-21 08:00:00+00:00
BTC/USDT	2025-02-21 13:00:00+00:00	B	5.881063032954251	0.04634712968587502	2025-02-21 12:00:00+00:00
BNB/USDT	2025-02-22 17:45:00+00:00	B	15.825384915727767	0.046914207193213	2025-02-22 16:00:00+00:00
LINK/USDT	2025-02-23 03:30:00+00:00	A	3.6143011443241804	0.07550335570469788	2025-02-23 00:00:00+00:00
ETH/USDT	2025-02-23 07:15:00+00:00	B	3.267161525198054	0.05902723403043733	2025-02-23 04:00:00+00:00
ETH/USDT	2025-02-23 23:00:00+00:00	A	3.494177862355521	0.13631672566527542	2025-02-23 20:00:00+00:00
XRP/USDT	2025-02-24 00:00:00+00:00	A	3.3580166472585185	0.15130996806832608	2025-02-24 00:00:00+00:00
LTC/USDT	2025-02-26 09:30:00+00:00	B	5.982000047913654	0.07928042664968565	2025-02-26 08:00:00+00:00
LINK/USDT	2025-02-26 22:00:00+00:00	B	3.8013495385171727	0.06414368184733804	2025-02-26 20:00:00+00:00
LINK/USDT	2025-02-28 13:30:00+00:00	B	3.3784552201122264	0.06412966878083158	2025-02-28 12:00:00+00:00
BNB/USDT	2025-03-01 14:00:00+00:00	B	3.240749581244303	0.023661539999666626	2025-03-01 12:00:00+00:00
ETH/USDT	2025-03-02 09:30:00+00:00	A	6.782179570524087	0.16807640563185164	2025-03-02 08:00:00+00:00
AVAX/USDT	2025-03-02 15:15:00+00:00	B	11.057265168866714	0.12893081761006292	2025-03-02 12:00:00+00:00
LTC/USDT	2025-03-02 16:30:00+00:00	B	9.458810091025756	0.13834632903574462	2025-03-02 16:00:00+00:00
ADA/USDT	2025-03-04 14:30:00+00:00	B	6.873495085247464	0.27497352629721145	2025-03-04 12:00:00+00:00
LINK/USDT	2025-03-04 21:15:00+00:00	B	3.92217554500056	0.12532637075718014	2025-03-04 20:00:00+00:00
AVAX/USDT	2025-03-05 19:00:00+00:00	B	5.0650874299721655	0.07980997624703086	2025-03-05 16:00:00+00:00
BTC/USDT	2025-03-06 01:45:00+00:00	B	3.0994101803340386	0.08943401394222686	2025-03-06 00:00:00+00:00
LTC/USDT	2025-03-06 04:30:00+00:00	B	3.3439434917616095	0.14319569774860993	2025-03-06 04:00:00+00:00
AVAX/USDT	2025-03-06 22:00:00+00:00	B	5.370445373473325	0.08169934640522875	2025-03-06 20:00:00+00:00
SOL/USDT	2025-03-07 13:30:00+00:00	B	3.0096729442589867	0.09756097560975616	2025-03-07 12:00:00+00:00
ETH/USDT	2025-03-08 17:15:00+00:00	B	3.4129864489834207	0.0965419108083979	2025-03-08 16:00:00+00:00
SOL/USDT	2025-03-10 09:15:00+00:00	B	4.907449344707129	0.145051063503033	2025-03-10 08:00:00+00:00
BNB/USDT	2025-03-12 12:30:00+00:00	A	4.004297662963031	0.06242544023645451	2025-03-12 12:00:00+00:00
BNB/USDT	2025-03-13 13:00:00+00:00	A	18.871643032225354	0.05954565166627756	2025-03-13 12:00:00+00:00
LINK/USDT	2025-03-14 08:15:00+00:00	A	30.946814729761428	0.08744710860366715	2025-03-14 08:00:00+00:00
SOL/USDT	2025-03-14 13:45:00+00:00	A	10.340522176968058	0.06544157556020778	2025-03-14 12:00:00+00:00
BNB/USDT	2025-03-15 15:30:00+00:00	A	3.1801405404305534	0.0494118428922709	2025-03-15 12:00:00+00:00
DOGE/USDT	2025-03-16 16:00:00+00:00	B	6.783457643518978	0.04902824261640536	2025-03-16 16:00:00+00:00
BNB/USDT	2025-03-17 02:45:00+00:00	B	9.928966828372962	0.03753042141667743	2025-03-17 00:00:00+00:00
DOGE/USDT	2025-03-17 18:30:00+00:00	B	4.041713891178896	0.07664731990440413	2025-03-17 16:00:00+00:00
LINK/USDT	2025-03-18 07:00:00+00:00	A	4.017258115496794	0.05815602836879422	2025-03-18 04:00:00+00:00
LINK/USDT	2025-03-19 10:30:00+00:00	A	11.768137175943194	0.07268877911079741	2025-03-19 08:00:00+00:00
ADA/USDT	2025-03-19 13:00:00+00:00	B	5.354073827227708	0.03919680924219498	2025-03-19 12:00:00+00:00
BTC/USDT	2025-03-19 18:45:00+00:00	B	6.229199720895282	0.04436794968009838	2025-03-19 16:00:00+00:00
BNB/USDT	2025-03-20 09:00:00+00:00	B	11.56408854742266	0.03343901323364729	2025-03-20 08:00:00+00:00
AVAX/USDT	2025-03-21 18:30:00+00:00	A	3.659638137022163	0.04562334217506628	2025-03-21 16:00:00+00:00
LINK/USDT	2025-03-22 16:15:00+00:00	A	3.1614885480349018	0.024390243902439	2025-03-22 16:00:00+00:00
DOGE/USDT	2025-03-23 06:30:00+00:00	A	4.205052401999944	0.041163946061036155	2025-03-23 04:00:00+00:00
SOL/USDT	2025-03-23 10:15:00+00:00	A	5.675496296008757	0.08087233075874607	2025-03-23 08:00:00+00:00
BTC/USDT	2025-03-23 23:45:00+00:00	B	5.99109496488515	0.037711962361687876	2025-03-23 20:00:00+00:00
BNB/USDT	2025-03-24 00:00:00+00:00	A	5.310428488738059	0.03507284852943521	2025-03-24 00:00:00+00:00
BTC/USDT	2025-03-24 04:00:00+00:00	B	3.8559393550029384	0.028314950097153353	2025-03-24 04:00:00+00:00
SOL/USDT	2025-03-24 10:30:00+00:00	B	4.21665355429396	0.04788434414668561	2025-03-24 08:00:00+00:00
DOGE/USDT	2025-03-24 14:00:00+00:00	A	8.686975758718724	0.054560530679933605	2025-03-24 12:00:00+00:00
BNB/USDT	2025-03-24 16:00:00+00:00	B	7.899712086071056	0.02237016469994313	2025-03-24 16:00:00+00:00
LTC/USDT	2025-03-25 13:00:00+00:00	A	6.0085272726806185	0.04094002552105481	2025-03-25 12:00:00+00:00
XRP/USDT	2025-03-25 17:45:00+00:00	A	13.455965698099842	0.04075006088156508	2025-03-25 16:00:00+00:00
BTC/USDT	2025-03-25 20:00:00+00:00	A	4.234635779546842	0.029493437429282697	2025-03-25 20:00:00+00:00
XRP/USDT	2025-03-26 01:15:00+00:00	A	3.367073090252094	0.06065878925218523	2025-03-26 00:00:00+00:00
LTC/USDT	2025-03-27 10:00:00+00:00	A	3.8799808353704908	0.07400760135135126	2025-03-27 08:00:00+00:00
BTC/USDT	2025-03-31 12:45:00+00:00	B	6.878220769855346	0.034418066530915	2025-03-31 12:00:00+00:00
ETH/USDT	2025-04-01 08:15:00+00:00	B	4.063867498432727	0.045362159637866904	2025-04-01 08:00:00+00:00
ADA/USDT	2025-04-01 14:45:00+00:00	A	3.4594308785775545	0.046440082039261574	2025-04-01 12:00:00+00:00
AVAX/USDT	2025-04-01 23:30:00+00:00	B	11.017839137329998	0.10797174571140247	2025-04-01 20:00:00+00:00
BTC/USDT	2025-04-02 13:30:00+00:00	B	4.865647196973519	0.07847113875429028	2025-04-02 12:00:00+00:00
SOL/USDT	2025-04-02 20:00:00+00:00	B	4.193744324183549	0.1792819745699328	2025-04-02 20:00:00+00:00
XRP/USDT	2025-04-04 13:45:00+00:00	B	9.365645473686268	0.04640075525135712	2025-04-04 12:00:00+00:00
BTC/USDT	2025-04-07 13:45:00+00:00	B	3.405241915271222	0.05015448768443556	2025-04-07 12:00:00+00:00
SOL/USDT	2025-04-09 07:00:00+00:00	B	3.0863047774974506	0.17377963737796373	2025-04-09 04:00:00+00:00
ADA/USDT	2025-04-09 17:15:00+00:00	B	13.443665741030895	0.0992478744277305	2025-04-09 16:00:00+00:00
AVAX/USDT	2025-04-11 12:30:00+00:00	B	4.209396321993087	0.03815995818086777	2025-04-11 12:00:00+00:00
BTC/USDT	2025-04-11 17:30:00+00:00	B	4.397388993406574	0.031091564744539744	2025-04-11 16:00:00+00:00
ADA/USDT	2025-04-12 13:30:00+00:00	B	3.0801159581086077	0.04328404189772029	2025-04-12 12:00:00+00:00
SOL/USDT	2025-04-13 17:15:00+00:00	B	5.422922339779428	0.0824372759856631	2025-04-13 16:00:00+00:00
LINK/USDT	2025-04-14 00:15:00+00:00	B	3.387518570782833	0.05663304887509701	2025-04-14 00:00:00+00:00
BNB/USDT	2025-04-15 04:45:00+00:00	A	4.5543258678407135	0.025208942039817953	2025-04-15 04:00:00+00:00
XRP/USDT	2025-04-15 09:00:00+00:00	A	6.077550037651421	0.06878939861040823	2025-04-15 08:00:00+00:00
BNB/USDT	2025-04-16 11:45:00+00:00	A	10.897093077498617	0.018038447662732566	2025-04-16 08:00:00+00:00
ETH/USDT	2025-04-16 15:15:00+00:00	B	3.6992806058950007	0.04656667331074346	2025-04-16 12:00:00+00:00
SOL/USDT	2025-04-16 19:45:00+00:00	B	5.841942187696385	0.05058512646281608	2025-04-16 16:00:00+00:00
BNB/USDT	2025-04-17 09:00:00+00:00	A	6.287798913145045	0.015306995040191628	2025-04-17 08:00:00+00:00
ADA/USDT	2025-04-18 22:00:00+00:00	A	3.1656469395338025	0.025011872724394545	2025-04-18 20:00:00+00:00
ETH/USDT	2025-04-19 04:15:00+00:00	A	7.9697734419239215	0.02342251764136365	2025-04-19 04:00:00+00:00
AVAX/USDT	2025-04-19 09:00:00+00:00	B	4.110227421880574	0.04580152671755718	2025-04-19 08:00:00+00:00
ETH/USDT	2025-04-19 15:15:00+00:00	A	3.00281297998416	0.04111000744971444	2025-04-19 12:00:00+00:00
LINK/USDT	2025-04-20 14:45:00+00:00	B	5.048878499414361	0.04939209726443758	2025-04-20 12:00:00+00:00
BTC/USDT	2025-04-21 00:15:00+00:00	B	18.86401254700504	0.02608689298125685	2025-04-21 00:00:00+00:00
LTC/USDT	2025-04-21 07:00:00+00:00	A	12.908424834561911	0.056092357886811384	2025-04-21 04:00:00+00:00
AVAX/USDT	2025-04-21 08:00:00+00:00	B	5.885992884320117	0.06851940584571153	2025-04-21 08:00:00+00:00
DOGE/USDT	2025-04-22 07:15:00+00:00	A	3.880265356683019	0.1369292062519154	2025-04-22 04:00:00+00:00
LINK/USDT	2025-04-22 13:00:00+00:00	B	12.922839860746329	0.1261922230374175	2025-04-22 12:00:00+00:00
BTC/USDT	2025-04-22 21:45:00+00:00	B	12.166661304769404	0.02967154231207462	2025-04-22 20:00:00+00:00
DOGE/USDT	2025-04-23 00:15:00+00:00	B	4.424892450656181	0.05756731662024138	2025-04-23 00:00:00+00:00
XRP/USDT	2025-04-24 13:30:00+00:00	B	9.910516154839094	0.037944591752765724	2025-04-24 12:00:00+00:00
BTC/USDT	2025-04-24 23:30:00+00:00	A	3.381494239528457	0.0309113110550797	2025-04-24 20:00:00+00:00
SOL/USDT	2025-04-25 01:00:00+00:00	B	3.675464958394177	0.046373983739837366	2025-04-25 00:00:00+00:00
BTC/USDT	2025-04-25 07:45:00+00:00	A	3.223547768264877	0.023655396595965446	2025-04-25 04:00:00+00:00
SOL/USDT	2025-04-25 12:00:00+00:00	A	4.700580405362299	0.05330339961513792	2025-04-25 12:00:00+00:00
XRP/USDT	2025-04-26 06:30:00+00:00	A	6.965773273313335	0.040656269719642944	2025-04-26 04:00:00+00:00
ETH/USDT	2025-04-26 08:15:00+00:00	A	3.1111460443518832	0.04295012032378034	2025-04-26 08:00:00+00:00
ADA/USDT	2025-04-27 00:15:00+00:00	A	3.682302464810047	0.038063252169045624	2025-04-27 00:00:00+00:00
XRP/USDT	2025-04-27 12:30:00+00:00	A	20.265648406752955	0.06819502167404035	2025-04-27 12:00:00+00:00
ETH/USDT	2025-04-28 10:30:00+00:00	A	4.274514319580668	0.0539916935856022	2025-04-28 08:00:00+00:00
ETH/USDT	2025-04-29 06:15:00+00:00	A	3.2037481376793013	0.03447800455515542	2025-04-29 04:00:00+00:00
BTC/USDT	2025-04-29 16:30:00+00:00	A	4.488949243246423	0.02669998327813167	2025-04-29 16:00:00+00:00
LTC/USDT	2025-05-01 07:30:00+00:00	A	3.841455870717945	0.07227781047675104	2025-05-01 04:00:00+00:00
ETH/USDT	2025-05-01 10:15:00+00:00	A	4.6112587343330995	0.03267107928044354	2025-05-01 08:00:00+00:00
DOGE/USDT	2025-05-01 14:45:00+00:00	B	4.83358288358682	0.029094115054000478	2025-05-01 12:00:00+00:00
LTC/USDT	2025-05-01 16:00:00+00:00	B	3.7595229799795615	0.03510351035103516	2025-05-01 16:00:00+00:00
LTC/USDT	2025-05-01 20:30:00+00:00	B	3.4549480025198176	0.04094732182381588	2025-05-01 20:00:00+00:00
AVAX/USDT	2025-05-02 00:15:00+00:00	A	5.1832365019560225	0.055606198723792265	2025-05-02 00:00:00+00:00
BNB/USDT	2025-05-02 11:00:00+00:00	B	9.701612172286339	0.01109574663045827	2025-05-02 08:00:00+00:00
LINK/USDT	2025-05-02 14:15:00+00:00	A	4.995045334097116	0.05016949152542374	2025-05-02 12:00:00+00:00
ETH/USDT	2025-05-02 16:00:00+00:00	A	8.33018962789858	0.027053882181068134	2025-05-02 16:00:00+00:00
ADA/USDT	2025-05-03 15:00:00+00:00	B	7.8572735213176115	0.06459165404214288	2025-05-03 12:00:00+00:00
SOL/USDT	2025-05-06 22:00:00+00:00	B	3.603913614970836	0.03333790643435303	2025-05-06 20:00:00+00:00
ETH/USDT	2025-05-07 00:15:00+00:00	B	7.197603205033783	0.03429090928886784	2025-05-07 00:00:00+00:00
BNB/USDT	2025-05-07 12:00:00+00:00	A	3.5580258047849194	0.032864235688685774	2025-05-07 12:00:00+00:00
BTC/USDT	2025-05-08 00:45:00+00:00	B	4.034202950607516	0.06695059149528568	2025-05-08 00:00:00+00:00
XRP/USDT	2025-05-08 04:00:00+00:00	B	4.278890856498768	0.07487604057680938	2025-05-08 04:00:00+00:00
SOL/USDT	2025-05-08 14:30:00+00:00	A	4.015025881195823	0.12576608784473964	2025-05-08 12:00:00+00:00
ETH/USDT	2025-05-08 19:45:00+00:00	B	4.905854087970226	0.17903703318963282	2025-05-08 16:00:00+00:00
DOGE/USDT	2025-05-09 07:00:00+00:00	B	5.007636330996564	0.1270795053880916	2025-05-09 04:00:00+00:00
AVAX/USDT	2025-05-09 08:15:00+00:00	B	3.0435626939599936	0.06871532223644897	2025-05-09 08:00:00+00:00
LTC/USDT	2025-05-10 00:00:00+00:00	B	6.16173553999076	0.06244620828153392	2025-05-10 00:00:00+00:00
XRP/USDT	2025-05-10 10:00:00+00:00	B	5.3199712803387715	0.059096176129779764	2025-05-10 08:00:00+00:00
ADA/USDT	2025-05-10 17:00:00+00:00	B	7.113612951826092	0.07913233155598645	2025-05-10 16:00:00+00:00
BTC/USDT	2025-05-10 23:00:00+00:00	B	3.408586231005589	0.015766188324360195	2025-05-10 20:00:00+00:00
BTC/USDT	2025-05-12 01:00:00+00:00	B	7.400164189267775	0.04869859090388362	2025-05-12 00:00:00+00:00
AVAX/USDT	2025-05-12 06:45:00+00:00	B	3.265410532166408	0.1326810176125245	2025-05-12 04:00:00+00:00
BNB/USDT	2025-05-12 08:30:00+00:00	B	7.026646418183155	0.07802391103425663	2025-05-12 08:00:00+00:00
XRP/USDT	2025-05-12 12:00:00+00:00	B	4.897669775816629	0.09358835558763384	2025-05-12 12:00:00+00:00
ETH/USDT	2025-05-13 12:30:00+00:00	B	3.92301234987103	0.08645758160114511	2025-05-13 12:00:00+00:00
SOL/USDT	2025-05-13 19:15:00+00:00	B	3.155330361180807	0.06441446422647354	2025-05-13 16:00:00+00:00
AVAX/USDT	2025-05-14 04:45:00+00:00	B	4.731345633709943	0.08229520573801434	2025-05-14 04:00:00+00:00
ADA/USDT	2025-05-15 16:45:00+00:00	B	3.2416769704196446	0.055463891356771114	2025-05-15 16:00:00+00:00
BTC/USDT	2025-05-16 15:00:00+00:00	A	3.6804533704109264	0.018615101322393347	2025-05-16 12:00:00+00:00
ADA/USDT	2025-05-17 07:00:00+00:00	B	3.459064114367652	0.07025430259440017	2025-05-17 04:00:00+00:00
ETH/USDT	2025-05-18 08:15:00+00:00	B	4.633397197884717	0.10468302107913788	2025-05-18 08:00:00+00:00
BTC/USDT	2025-05-18 13:30:00+00:00	A	9.68051675925058	0.04890504010195669	2025-05-18 12:00:00+00:00
BTC/USDT	2025-05-18 23:45:00+00:00	B	4.17830859463617	0.04798887334334949	2025-05-18 20:00:00+00:00
BTC/USDT	2025-05-20 17:00:00+00:00	B	3.316080150339399	0.04358936611731185	2025-05-20 16:00:00+00:00
BNB/USDT	2025-05-21 03:00:00+00:00	A	3.0807112204039138	0.05599877731927249	2025-05-21 00:00:00+00:00
DOGE/USDT	2025-05-21 04:30:00+00:00	B	3.202714602357092	0.09118435850852157	2025-05-21 04:00:00+00:00
LINK/USDT	2025-05-21 11:00:00+00:00	B	8.690495703964622	0.07487623762376243	2025-05-21 08:00:00+00:00
BTC/USDT	2025-05-21 14:30:00+00:00	B	3.1835192498818117	0.053463889586040446	2025-05-21 12:00:00+00:00
SOL/USDT	2025-05-21 23:15:00+00:00	B	3.5349598863302925	0.04759988502443232	2025-05-21 20:00:00+00:00
AVAX/USDT	2025-05-22 10:00:00+00:00	B	20.76208556148922	0.05227181342983517	2025-05-22 08:00:00+00:00
SOL/USDT	2025-05-23 00:00:00+00:00	A	3.112431002587395	0.07995582551076763	2025-05-23 00:00:00+00:00
SOL/USDT	2025-05-23 08:30:00+00:00	B	3.26107070966719	0.08170829975825951	2025-05-23 08:00:00+00:00
AVAX/USDT	2025-05-25 22:00:00+00:00	A	4.253193082812523	0.05487269534679543	2025-05-25 20:00:00+00:00
BNB/USDT	2025-05-26 12:45:00+00:00	A	3.045015580816448	0.02638120320776498	2025-05-26 12:00:00+00:00
ETH/USDT	2025-05-27 06:00:00+00:00	B	16.144871012811173	0.056810272226302784	2025-05-27 04:00:00+00:00
LINK/USDT	2025-05-27 13:00:00+00:00	A	3.021136092333202	0.028089887640449396	2025-05-27 12:00:00+00:00
